### omegas ###
### ### ###
0.0  
0.0  
0.0  
### fi ###
### ### ###
-0.3464926687909565 1.1876239130007855 1.456091389687571
-0.014442608622561474 1.468006599118333 0.7156690480827465
-0.008455175090295121 1.598271605784177 0.6261447098970068
-0.29279602757321793 2.0320002686629137 2.877947171826628
-0.008751146779775364 2.4660522664921607 0.08609253570968246
-0.03208620425737026 3.030315966676648 2.769904949253924
-0.28458199780450205 1.4814529645732686 1.1701335301711024
-0.28158536638389653 2.279156363453058 2.7221985626696688
-0.42675853172973677 1.4139416869082415 3.0021422099830257
-0.24352202597811476 0.44577267237739987 1.6936839837536215
